,rev_id,score
1077,706255894,Start
1078,706263160,Start
1079,706266522,Stub
1080,706281586,Stub
1081,706293779,Stub
1082,706307565,Stub
1083,706317015,Stub
1084,706327588,Stub
1085,706334220,Start
1086,706335116,Stub
1087,706337207,Stub
1088,706337300,Stub
1089,706338188,Stub
1090,706339506,Start
1091,706340312,Start
1092,706342410,Stub
1093,706345809,Stub
1094,706348474,Stub
1095,706348891,Stub
1096,706350944,Stub
1097,706360979,Stub
1098,706369684,Start
1099,706396700,Stub
1100,706396761,Start
1101,706396894,Stub
1102,706397010,Stub
1103,706397098,Start
1104,706397118,Start
1105,706397696,Stub
1106,706397739,Start
1107,706397835,Stub
1108,706401427,Start
1109,706404201,Stub
1110,706404233,Start
1111,706404417,Stub
1112,706406973,Stub
1113,706414315,Stub
1114,706416525,Stub
1115,706419886,Stub
1116,706422134,Stub
1117,706428978,Stub
1118,706430270,Stub
1119,706435364,Stub
1120,706457510,Stub
1121,706458967,Stub
1122,706461019,Stub
1123,706461374,Stub
1124,706466759,Stub
1125,706470488,Stub
1126,706474747,Stub
1127,706476840,Stub
1128,706487755,Stub
1129,706487935,Stub
1130,706488173,Stub
1131,706495975,Stub
1132,706496028,Stub
1133,706496086,Stub
1134,706536578,Stub
1135,706548224,Stub
1136,706577469,Stub
1137,706585518,Stub
1138,706586531,Start
1139,706586976,Start
1140,706588986,Stub
1141,706591532,Stub
1142,706592529,Stub
1143,706595386,Start
1144,706597050,Stub
1145,706597779,Stub
1146,706604496,Stub
1147,706604510,Stub
1148,706605760,Stub
1149,706631009,Start
1150,706643048,Start
1151,706650943,Stub
1152,706653108,Stub
1153,706653374,Stub
1154,706657010,Start
1155,706657889,Stub
1156,706663037,Stub
1157,706686405,Stub
1158,706692574,Start
1159,706697637,Start
1160,706701327,Start
1161,706714887,Stub
1162,706738368,Stub
1163,706756620,Start
1164,706758502,Stub
1165,706762175,Stub
1166,706769596,Stub
1167,706771757,Stub
1168,706772371,Stub
1169,706773200,Stub
1170,706779274,Start
1171,706780110,Stub
1172,706786237,Start
1173,706786334,Stub
1174,706802528,C
1175,706803180,B
1176,706803719,Start
1177,706804103,Stub
1178,706804335,Stub
1179,706804349,Stub
1180,706804758,Stub
1181,706810631,Stub
1182,706810694,
1183,706810770,Stub
1184,706810784,Start
1185,706810952,Stub
1186,706811149,Stub
1187,706822425,Stub
1188,706828028,Stub
1189,706828186,Start
1190,706837234,Stub
1191,706837511,Stub
1192,706838351,Stub
1193,706856245,Stub
1194,706856376,Stub
1195,706856464,Stub
1196,706856522,Stub
1197,706856829,Start
1198,706856853,Stub
1199,706856887,Stub
1200,706878454,B
1201,706895462,Stub
1202,706897658,Stub
1203,706897699,Stub
1204,706897843,Stub
1205,706905383,Stub
1206,706910037,Start
1207,706934829,Stub
1208,706937070,Start
1209,706939257,Start
1210,706942745,Stub
1211,706945392,Stub
1212,706956487,Stub
1213,706956550,Stub
1214,706956575,Stub
1215,706960331,Stub
1216,706961131,Stub
1217,706966597,Start
1218,706969862,Start
1219,706972267,Start
1220,706980178,Stub
1221,706995657,Stub
1222,707013721,Stub
1223,707021744,Start
1224,707026656,Stub
1225,707032515,Stub
1226,707041702,Stub
1227,707047538,Stub
1228,707049490,Stub
1229,707065861,Stub
1230,707080150,Start
1231,707089137,Start
1232,707089329,Stub
1233,707095221,Stub
1234,707102498,Stub
1235,707140205,Start
1236,707140404,Stub
1237,707142136,Start
1238,707143937,Stub
1239,707148497,Start
1240,707172907,Stub
1241,707181154,Stub
1242,707185470,Stub
1243,707190096,Stub
1244,707192620,Stub
1245,707192632,Stub
1246,707192822,Stub
1247,707192833,Stub
1248,707192879,Stub
1249,707192909,Stub
1250,707192931,Stub
1251,707192943,Stub
1252,707193398,Stub
1253,707197266,Stub
1254,707206006,Start
1255,707213195,Stub
1256,707213784,Stub
1257,707217873,C
1258,707226810,Stub
1259,707255414,Stub
1260,707265548,Stub
1261,707274683,Stub
1262,707282362,Stub
1263,707297623,Stub
1264,707317818,Stub
1265,707318172,Start
1266,707328021,Stub
1267,707330781,Stub
1268,707349953,Stub
1269,707350275,Stub
1270,707359267,Stub
1271,707359699,Start
1272,707363614,Stub
1273,707363748,Stub
1274,707363837,Stub
1275,707375261,Stub
1276,707375293,Stub
1277,707375437,Stub
1278,707375539,Stub
1279,707375602,Stub
1280,707375836,Start
1281,707376010,Stub
1282,707376171,Stub
1283,707376527,Stub
1284,707376565,Stub
1285,707376606,Stub
1286,707376630,Start
1287,707379020,Stub
1288,707380559,Stub
1289,707380906,Stub
1290,707380950,Stub
1291,707381081,Stub
1292,707381218,Stub
1293,707381813,Stub
1294,707381859,Start
1295,707386477,Stub
1296,707387967,Stub
1297,707389381,Stub
1298,707390103,Stub
1299,707399758,Start
1300,707400213,Stub
1301,707403482,Stub
1302,707404888,Stub
1303,707411561,Stub
1304,707416271,Stub
1305,707417047,Stub
1306,707427823,Stub
1307,707462949,Start
1308,707468568,Stub
1309,707470046,Stub
1310,707470906,C
1311,707473503,Start
1312,707476282,Stub
1313,707487735,Stub
1314,707493299,Stub
1315,707494729,Stub
1316,707498896,Stub
1317,707519272,Stub
1318,707523104,Start
1319,707525246,Stub
1320,707525315,Stub
1321,707533681,Stub
1322,707534982,Start
1323,707545213,Stub
1324,707576885,Stub
1325,707581912,Stub
1326,707593108,Stub
1327,707594244,Stub
1328,707594917,Stub
1329,707596010,Stub
1330,707597496,Stub
1331,707597623,Start
1332,707598252,Stub
1333,707598302,Start
1334,707605007,Stub
1335,707632311,Stub
1336,707652585,Stub
1337,707654266,Stub
1338,707659333,Stub
1339,707662122,Start
1340,707664768,Stub
1341,707669406,Stub
1342,707672525,Stub
1343,707674451,Stub
1344,707680353,Stub
1345,707682063,Stub
1346,707684781,Stub
1347,707735075,Stub
1348,707750982,Stub
1349,707762072,Stub
1350,707799342,Stub
1351,707803149,Stub
1352,707807409,Stub
1353,707812063,Start
1354,707824352,Start
1355,707824636,Stub
1356,707846100,Stub
1357,707847723,Start
1358,707854459,Stub
1359,707864289,Start
1360,707880629,Start
1361,707884751,Stub
1362,707887819,Stub
1363,707895202,Stub
1364,707898065,Stub
1365,707898818,Stub
1366,707905482,Stub
1367,707913115,Stub
1368,707917905,Start
1369,707925243,Stub
1370,707927966,Stub
1371,707934773,Start
1372,707935281,Stub
1373,707946877,Stub
1374,707961181,Stub
1375,707961373,Stub
1376,707978950,Stub
1377,707980921,Stub
1378,707982898,Stub
1379,708009445,Start
1380,708012401,Stub
1381,708038038,Stub
1382,708045005,Stub
1383,708048408,Stub
1384,708052656,Stub
1385,708054598,Stub
1386,708057803,Start
1387,708060571,Stub
1388,708068049,Stub
1389,708070605,Start
1390,708078412,Start
1391,708079302,Stub
1392,708080519,Start
1393,708084659,Stub
